Reference #,Title,Agency,Contract Value
MRWA0156240001,Bridge Maintenance and Structural repairs to 13 Great Southern Region Bridges,Main Roads Western Australia,"$ 3,386,553.00 "
MYLMakegood202526,MyLeave Office Restoration,MyLeave,"$ 131,725.00 "
MW24058CON1B,Soil Stack Replacement - G Block L5-7,North Metropolitan Health Service,"$ 2,124,368.00 "
PROMSA25109,Koondoola Primary School – A/C Upgrade,Programmed Facility Management,"$ 251,876.00 "
PTA250062,Public Transport Authority Activations and Events Program Provision of Event Management Services,Public Transport Authority,"$ 950,000.00 "
WAPOL21824,"Manufacture, Supply and Delivery of Custodial Charge Docks to Maylands Police Complex",Western Australia Police Force,"$ 3,600,000.00 "
WAPOL08025,Security System Closed-Circuit Television (CCTV) and Access Control Upgrade Katanning Police Station,Western Australia Police Force,"$ 60,500.00 "
DBCABGPA20332024,Specialised Heritage Works Panel,Botanic Gardens and Parks Authority,"$ 300,000.00 "
DBCA419ST2692024,Cultural and Nature-Based Tourism Options Analysis and Feasibility Study for Mount Augustus and Burringurrah National Parks,"Department of Biodiversity, Conservation and Attractions","$ 201,922.00 "
ED251486,Travel to Kuala Lumpur for Belridge Secondary College,Department of Education,"$ 101,250.00 "
ED240599,Supply of Musical Instruments,Department of Education,"$ 1,250,000.00 "
DFES246525,Essential Public Asset Reconstruction Assessment,Department of Fire and Emergency Services,"$ 427,828.00 "
DHW0284425,Department of Education  -  Port Hedland Primary School  - Installation of 1 KPP,Department of Housing and Works,"$ 489,545.00 "
DHW0157525,Department of Education - Gibbs Street Primary School - Installation of 1 x GLA building,Department of Housing and Works,"$ 98,367.00 "
DPIRD2025199,WA Beverages Market Development Program,Department of Primary Industries and Regional Development,"$ 139,399.00 "
DPIRD2025115,"Design, Construction and Supply of One 8m Aluminium Shark Response Vessel and Trailer",Department of Primary Industries and Regional Development,"$ 552,746.00 "
DOT419125,Legal Services to the Minister for Transport and the CEO (Director General) of the Department of Transport and Major Infrastructure,Department of Transport and Major Infrastructure,"$ 249,500.00 "
MRWA0040230026,Provision of Sprayed Bitumen Sealing - Midwest-Gascoyne Region,Main Roads Western Australia,"$ 4,500,553.00 "
NMHS202515130,Purchase and Supply of a 3D Water Phantom,North Metropolitan Health Service,"$ 186,615.00 "
PROMSA25119,Area A Playground Upgrade - Sir David Brand School,Programmed Facility Management,"$ 169,485.00 "
SRT2025012,Virtual/Augmented Welding Equipment for South Regional TAFE,South Regional TAFE,"$ 148,280.00 "
WACHS202414048,Provision of Gardening and Landscaping Services for Various Locations in the Pilbara Region,WA Country Health Service,"$ 400,000.00 "
WACHS20228965KIKNXH,"Provision of Licensed Security Officers to Provide Regular Security Services at Kununurra, Halls Creek and Kalumburu",WA Country Health Service,"$ 12,182,284.00 "
WACHS20228965KIFXD25,Provision of Licensed Security Officers to Provide Regular Security Services at Fitzroy Crossing and Derby,WA Country Health Service,"$ 15,648,592.00 "
WACHS20228965KIBHC2,Provision of Licensed Security Officers to Provide Regular Security Services at Broome Hospital,WA Country Health Service,"$ 9,001,217.00 "
WAPOL01625,Over the Counter Services National Police Clearances,Western Australia Police Force,"$ 7,200,000.00 "
CRTF250000704,Provision of ODB II Simulators with CAN Bus Interface & Scan Tool Trainers,Central Regional TAFE,"$ 89,577.00 "
DBCA412WQ0712025,Walkway Revitalisation – Tree Top Walk Walpole,"Department of Biodiversity, Conservation and Attractions","$ 77,917.00 "
DOHW0155125,Department of Education - Bob Hawke College - Air Conditioning Duct Replacement,Department of Housing and Works,"$ 207,713.00 "
DHW0596124,Department of Education - Koorana Education Support Centre – New PP block - SUF,Department of Housing and Works,"$ 1,876,606.00 "
DHW0466825,"DPIRD - Kununurra Quarrantine WA/NT Border Check Point Generation Upgrade, Feasability Study and Cost Estimate 2025/26",Department of Housing and Works,"$ 19,525.00 "
DHW0303024A,Department of Education - Derby District High School - Fire Tank Replacement,Department of Housing and Works,"$ 296,217.00 "
DHW0283625,Department of Education - Sorrento Primary School - Installation of 1 x KPP Transportable,Department of Housing and Works,"$ 165,665.00 "
DHW0157725A,Department of Education - Bannister Creek Primary School - Supply and Install Electrical Cubicle,Department of Housing and Works,"$ 57,331.00 "
DPIRD2025256,Executive Officer - Temporary Personnel,Department of Primary Industries and Regional Development,"$ 84,396.00 "
DPC2427,Threat Indicator Enrichment Platform,Department of the Premier and Cabinet,"$ 240,000.00 "
DOT414725,Support and Maintenance for Toad Licenses,Department of Transport and Major Infrastructure,"$ 90,361.00 "
ICWAIPP1626,Project Manager,Insurance Commission of Western Australia,"$ 163,680.00 "
MRWA015624,Panel Contract for the Construction and Maintenance of Road Related Structures and Culverts within Western Australia,Main Roads Western Australia,"$ 614,680,000.00 "
NMTAFEP2025028,Provision of Smart Lockers for North Metropolitan TAFE,North Metropolitan TAFE,"$ 125,598.00 "
PROPTA25021,Bus Turning Safety Improvements Project - Newcastle Street Intersections,Programmed Facility Management,"$ 598,925.00 "
PROMSA25118,Electrical Upgrade - Ardross Primary School,Programmed Facility Management,"$ 205,744.00 "
SMHS202515448,EMERGENCY PURCHASE – SOUTH METROPOLITAN HEALTH SERVICE – SMHS202515448 – Emergency Purchase – Maxem Aviation Charter Flight for Donor Organs,South Metropolitan Health Service,"$ 52,360.00 "
SMHS202515228,Supply and Installation of Audio Visual Equipment for Montsalvat Drive Community Premises,South Metropolitan Health Service,"$ 54,363.00 "
WAPOL09225A,Review of Use of Artificial intelligence,Western Australia Police Force,"$ 109,687.00 "
ED251383,Faults Management System Audit (CUAAFA2024),Department of Education,"$ 49,775.00 "
DoH202515434,"Supply, installation and commissioning of a new Uninterrupted Power Supply (UPS) system for 189 Royal Street",Department of Health (Royal Street),"$ 202,399.00 "
DHW0542724,Department of Primary Industries and Regional Development - DPIRD Esperance - New Greenhouses and Associated Works,Department of Housing and Works,"$ 1,372,176.00 "
DHW0424025,Department of Education - Maidens Park Primary School - Supply and Install Flotex Flooring Covered Assembly,Department of Housing and Works,"$ 65,349.00 "
DOJ202323579,"Provision of Digital Radio Network, Termnal Equipment, and Maintenance",Department of Justice,"$ 11,000,000.00 "
DPLH401325,Aboriginal Heritage Survey of IDG Resorts Nannup,"Department of Planning, Lands and Heritage","$ 61,797.00 "
DPIRD2025186,Aboriginal Business Leadership Initiative 2025 Goldfields Esperance,Department of Primary Industries and Regional Development,"$ 253,962.00 "
DPIRD2025003,ICT Project Management Services,Department of Primary Industries and Regional Development,"$ 6,600,000.00 "
DTMI420325,Temporary Position - Lead Procurement and Contracts Officer - Hays - Graeme Reany,Department of Transport and Major Infrastructure,"$ 55,137.00 "
HSS202515290,SMHS Rockingham General Hospital Facilities Works (whole of hospital),Health Support Services,"$ 724,300.00 "
ICWAIPP1624,Backup Engineer,Insurance Commission of Western Australia,"$ 166,320.00 "
PROMSA25136,Nature Playground at Midvale Primary School,Programmed Facility Management,"$ 409,818.00 "
PRODOC25072,MWG Refurbishment Two (2) DOHW Nominated Sites Waggrakine,Programmed Facility Management,"$ 396,600.00 "
PRODOC25071,MWG Refurbishment 33 Lennon Street Wiluna GROH,Programmed Facility Management,"$ 172,036.00 "
WACHS202514965,Kimberley Fire And Safety Audits 2025,WA Country Health Service,"$ 54,680.00 "
WAPOL06725,Provision of Technical Services for Cyber Security Essential Eight Uplift - Maturity Level 2,Western Australia Police Force,"$ 649,498.00 "
DFES245225,Service to Implement an AI Model to process Invoices,Department of Fire and Emergency Services,"$ 132,000.00 "
DoH202515235,Election Commitment - Australian Breastfeeding Association,Department of Health (Royal Street),"$ 850,000.00 "
DHW202539125,Expression of Interest for Common Ground East Perth Property and Tenancy Management Service,Department of Housing and Works,"$ 7,023,501.00 "
DHW202528935,Design and Construction of 5 new modular dwellings in Mardiwah Loop Community,Department of Housing and Works,"$ 4,266,325.00 "
DHW0573924,Department of Education - Aluminium Composite Panel (ACP) Cladding Remediation Tranche 1 Schools,Department of Housing and Works,"$ 1,170,827.00 "
DHW0431025,Department of Education - Parkwood Primary School - Proposed New Administration - SIP - EC25 - Cost Management Services,Department of Housing and Works,"$ 30,469.00 "
DHW0430625,Department of Education - Parkwood Primary School - New Administration Building - Architectural Services,Department of Housing and Works,"$ 212,526.00 "
DHW0379225,Department of Education - Greenbushes Primary School - Plaster Glass Ceiling Replacement Program - A6-A7-A8-A9-A10 & B1- B7 - B8,Department of Housing and Works,"$ 128,945.00 "
DHW0284525,Department of Education - Hedland Senior High School - Installation of 3 GLA Transportables,Department of Housing and Works,"$ 621,507.00 "
DHW0284025,Department of Education - East Kimberly College - Installation of 2x General Learning Area Modular Classrooms,Department of Housing and Works,"$ 542,935.00 "
DPIRD2025276,Team Lead - Temporary Personnel,Department of Primary Industries and Regional Development,"$ 83,237.00 "
ICWAIPP1625,Project Manager,Insurance Commission of Western Australia,"$ 188,160.00 "
MRWA0349240200,Provision of Temporary Personnel - RMO - Network Management & Delivery - Executive Assistant/Business Support Officer,Main Roads Western Australia,"$ 61,806.00 "
MRWA033724,Supply Personal Protective Equipment for the Metropolitan Region.,Main Roads Western Australia,"$ 198,000.00 "
NMTAFEP2025002,Provision of Video Production Services for the WA Career Taster Program,North Metropolitan TAFE,"$ 397,464.00 "
ODPPADM2025306,Review of current Mental Health and Wellbeing Program (and associated supporting initiatives) at the ODPP,Office of the Director of Public Prosecutions for WA,"$ 59,897.00 "
PRODOC25074,Refurbishment - 15 Stewart Street Exmouth,Programmed Facility Management,"$ 165,347.00 "
PTA250777,N&I Fleet Tyre Replacement and Maintenance,Public Transport Authority,"$ 97,750.00 "
WACHS202515129,Provision of Cleaning for WA Country Health Service Shark Bay Nursing Post,WA Country Health Service,"$ 121,706.00 "
WAPOL09425,Behaviour Change Deep Dive 2025 Exploratory Research,Western Australia Police Force,"$ 208,604.00 "
ED250017,Gardening Services for Karratha Public Schools,Department of Education,"$ 3,860,445.00 "
ED252182,Electricity for Bunbury Senior High School (CUAELC2012),Department of Education,"$ 291,493.00 "
ICWAIPP1595,Snyk CLI,Insurance Commission of Western Australia,"$ 55,404.00 "
DBCA414WQ0432025,Assembly and Installation of Two (2) Prefabricated Double Cubicle Toilets at Helena and Aurora Ranges,"Department of Biodiversity, Conservation and Attractions","$ 123,495.00 "
DOC9615825,"Construction of 7 x (2 Bed x 1 Bath) & 1 x (1 Bed x 1 Bath) Aged Person residential dwellings at Lots 31 (60) & 32 (62) Seymour Street, West Busselton WA 6280",Department of Housing and Works,"$ 5,243,198.00 "
DHW0739822015,DPIRD - Katanning Research Station - HVAC Replacement Upgrade,Department of Housing and Works,"$ 56,657.00 "
LGIRS25426,Heritage Aerial Survey WA ARRAY,"Department of Mines, Petroleum and Exploration","$ 201,461.00 "
DPIRD2025228,State Barrier Fence Floodway Replacement,Department of Primary Industries and Regional Development,"$ 90,981.00 "
DOT420125,Alliance Advisor to assist with the delivery of OMID Projects - Evan Hambleton,Department of Transport and Major Infrastructure,"$ 199,721.00 "
DWER106025,European House Borer Infestation Remediation - Mount Observation,Department of Water and Environmental Regulation,"$ 56,485.00 "
ICWA060825,Provision of Actuarial Services for the Insurance Commission of Western Australia,Insurance Commission of Western Australia,"$ 3,800,000.00 "
LW25148,VMWare Licence Renewal,Lotterywest,"$ 583,989.00 "
MRWA0040230012,Panel Contract for the Provision of Sprayed Bitumen Resealing - Goldfields-Esperance Region,Main Roads Western Australia,"$ 4,329,547.00 "
PROMSA25111,Nedlands Primary School - Access ramp to year 5 classroom block,Programmed Facility Management,"$ 96,102.00 "
PTA250906,Commercial Support Services - Radio Systems Replacement,Public Transport Authority,"$ 188,100.00 "
RFQWAEC25001,Remote Electronic Voting solution for Non-Parliamentary Elections,Western Australian Electoral Commission,"$ 56,650.00 "
CAHS202515219,Calibration and Maintenance Services for CAHS Audiology Equipment,Child and Adolescent Health Service,"$ 250,000.00 "
ED251386,Guidelines for Students with Suicidal Behaviour and Non-suicidal self-injury (CUAAFA2024),Department of Education,"$ 52,195.00 "
DEMIRS25167,Evaluation of the Western Australian Social Housing Energy Performance Initiative,Department of Energy and Economic Diversification,"$ 222,860.00 "
DHW0579824A,DPIRD – DPIRD Rat Island Jetty - Lead Consultant,Department of Housing and Works,"$ 93,049.00 "
DHW0384525,Department of Education - West Coast Secondary Education Support Centre - Installation of 1 GLA Transportable,Department of Housing and Works,"$ 92,801.00 "
DHW0297025,Department of Education - Bruce Rock District High School - Delivery & Installation of 1 x KPP Modular Classroom and 1 x Shed,Department of Housing and Works,"$ 263,568.00 "
DHW0203825,Western Australia Police Force - Joondalup Police Academy -  Block L Refurbishment,Department of Housing and Works,"$ 589,822.00 "
TWDQ05712025,Venue and Catering Services for the 2026 WA Training Awards Presentation Ceremony,Department of Training and Workforce Development (DTWD),"$ 100,000.00 "
TWDQ05392025,Evaluation of the Defence Industry Skills Centre of Excellence,Department of Training and Workforce Development (DTWD),"$ 217,909.00 "
ICWAIPP1650,Applications Manager,Insurance Commission of Western Australia,"$ 214,720.00 "
JN249604,LG01382023,Landgate,$ 880.00 
JN249470,LG01382023,Landgate,"$ 1,430.00 "
JN249231,LG01382023,Landgate,"$ 1,100.00 "
JN249110,LG01382023,Landgate,"$ 1,980.00 "
JN248084,LG01382023,Landgate,$ 880.00 
JN247382,LG01382023,Landgate,"$ 1,430.00 "
MRWA008325,Provision of Aboriginal Heritage Services - Bussell Highway to Vasse Newtown,Main Roads Western Australia,"$ 127,078.00 "
MRWA008024,Provision of Labour & Concrete Requirements for GRR Mt Barnett on Gibb River Road SLK300 - Kimberley Region,Main Roads Western Australia,"$ 406,698.00 "
NMHS202515445,Replacement of Packaged Air Conditioner Unit #3 on Roof of Mt Henry Dental Clinic,North Metropolitan Health Service,"$ 80,000.00 "
NMHS202515213,Retail Electricity Supply to North Metropolitan Health Service Sites under CUAELC2012,North Metropolitan Health Service,"$ 42,442,602.00 "
MW25035,SCGH - G Block Level 7 - Ward G72 Storeroom Conversion,North Metropolitan Health Service,"$ 35,611.00 "
PTA250970,Road Coach Body Repairs,Public Transport Authority,"$ 247,500.00 "
PTA250043,Process Manager 2025 - 2028,Public Transport Authority,"$ 500,179.00 "
SRT2025001,"Security Services for South Regional TAFE: Albany, Denmark and Mount Barker Campuses",South Regional TAFE,"$ 507,587.00 "
SSO100325,Subscription to Lexis+AI and Lexis+ and Lexis Argument Analyser,State Solicitor's Office,"$ 100,848.00 "
2023796WAM2025,Provision of Mila-wall systems,Western Australian Museum,"$ 140,407.00 "
ED251884,Student Travel to Canberra for Merredin College,Department of Education,"$ 148,500.00 "
DOH202515281,Immunisation funding program,Department of Health (Royal Street),"$ 271,709.00 "
DHW0207325A,Department of Education - WA College Of Agriculture Harvey - Horticulture Irrigation Upgrades,Department of Housing and Works,"$ 204,123.00 "
202596191,Construction of 1 - 5 Bed x 2 Bath Residential Dwelling at 8 Thomas Street Manjimup WA 6258,Department of Housing and Works,"$ 823,626.00 "
202540298,Construction of 2 - 3 Bed x 1 Bath Residential Dwellings for 18 Verrier Loop Byford WA 6122,Department of Housing and Works,"$ 862,995.00 "
202540297,Construction of 2 - 2 Bed X 1 Bath Residential Dwellings at 22 Corymbia Bouldevarde Byford WA 6122,Department of Housing and Works,"$ 745,289.00 "
DOJ202432974,Provision of Hazardous Chemical Management System,Department of Justice,"$ 172,860.00 "
DEMIRS24922,Provision of Cleaning Services at Mineral House,"Department of Mines, Petroleum and Exploration","$ 3,869,312.00 "
DTMI411521c036,Subordinate Document Development,Department of Transport and Major Infrastructure,"$ 53,372.00 "
DTMI411521c035,Interface Manager (temporary position),Department of Transport and Major Infrastructure,"$ 248,042.00 "
LAWA20250313,Cleaning Services for Broome,Legal Aid Commission of WA,"$ 275,000.00 "
PROMSA25127,Roof Replacement and Cooling for Schools - Newborough Primary School,Programmed Facility Management,"$ 2,242,833.00 "
PTA250806,Vertical Transport Stage 1 - Reference Design,Public Transport Authority,"$ 487,630.00 "
DBCARIAQ0726,Provision of Laboratory Services,Rottnest Island Authority,"$ 168,182.00 "
WAPOL13225,Supply and Delivery of Drums and Protective Cases,Western Australia Police Force,"$ 72,270.00 "
ED251384,Provision of co-sourced internal audit services for the review of Corruption Prevention Mechanisms (CUAAFA2024),Department of Education,"$ 59,962.00 "
ED250094,Bus for Hammond Park Secondary College,Department of Education,"$ 362,528.00 "
LG02282025,Terria Software Licensing & Support,Department of Housing and Works,"$ 2,400,000.00 "
DHW202539800,Works Request for Quote - SR - Lot 151 (3) Farne Close WARWICK,Department of Housing and Works,"$ 92,000.00 "
DHW0742801622,Department of Communities - Roebourne DCP - Crimesafe Screens and Doors.,Department of Housing and Works,"$ 65,337.00 "
DHW0407125,Department of Education - Manning Primary School - Installation of x1 GLA Modular Classroom,Department of Housing and Works,"$ 92,339.00 "
DHW0297125,Department of Education -  Spencer Park Education Support Centre - Installation of 1 x GLA Kitchenette Transportable with Patio,Department of Housing and Works,"$ 258,190.00 "
DHW0296625,Department of Education - Jurien Bay District High School - Delivery Installation of 1 x GLA Modular,Department of Housing and Works,"$ 112,160.00 "
DHW0296425,Department of Education - Margaret River Senior High School - Installation 1 GLA (Art Room),Department of Housing and Works,"$ 112,909.00 "
DPLH401025,Aboriginal Heritage Survey of Kowtah Rock Hole and mining tenements P 39/6210 and P 39/6477,"Department of Planning, Lands and Heritage","$ 86,092.00 "
DOT690125,AIS - Great Southern - Albany Region,Department of Transport and Major Infrastructure,"$ 973,043.00 "
EMHS202514860,"Supply, Deliver, Install, Commission, Train, and Optional Post Warranty Service Agreement for One (1) Surgical Laser for Royal Perth Hospital Ear, Nose, and Throat Theatre Services",East Metropolitan Health Service,"$ 158,702.00 "
EMHS202412753,Non-Orthopaedic Surgical Robot for WA public Health Service Provider(s),East Metropolitan Health Service,"$ 22,500,000.00 "
MRWA011425,Provision of Aboriginal Heritage Services for Proposed Roadworks Within the Banjima Native Title Determination Area - Pilbara Region,Main Roads Western Australia,"$ 67,529.00 "
MRWA0040230014,Panel Contract for the Provision of Sprayed Bitumen Resealing - Midwest-Gascoyne Region,Main Roads Western Australia,"$ 16,867,500.00 "
NTPO4440,CGRE Grounds Maintenance,National Trust of Western Australia,"$ 60,000.00 "
MW24119WP3,Fire Panel Upgrades – Graylands Hospital (GH) and Sir Charles Gardiner Hospital (SCGH),North Metropolitan Health Service,"$ 389,653.00 "
PRODOC25087,PB Pest Control Various Properties Pilbara WA,Programmed Facility Management,"$ 110,050.00 "
PRODOC25069,MWG Refurbishment Two (2) DOHW Nominated Sites Wiluna WA,Programmed Facility Management,"$ 394,850.00 "
SMT2024074,Print Room Service,South Metropolitan TAFE,"$ 8,000,000.00 "
DBCABGPA10402025,Cleaning Services (Office Facilities in Kings Park and Bold Park),Botanic Gardens and Parks Authority,"$ 985,500.00 "
CITS2556,Telstra Mobile Telephony Services,"Department of Creative Industries, Tourism and Sport","$ 208,732.00 "
DHW0428925,Department of Health - GCP - Interim Multidisciplinary Engineering Services,Department of Housing and Works,"$ 80,000.00 "
DHW0427725,Provision of Routine Maintenance for Pest Services Bridging Services - Various Agencies - Various Sites - Kimberley Region,Department of Housing and Works,"$ 53,579.00 "
TWDQ05572025,Electrical Services at Muresk,Department of Training and Workforce Development (DTWD),"$ 99,000.00 "
DOT419425,Project Communications and Engagement Advisor - Carmel Luck,Department of Transport and Major Infrastructure,"$ 64,525.00 "
DOT414025,Purchase and Removal of Vessel (vessel registration: EH939),Department of Transport and Major Infrastructure,"$ 1,500.00 "
DWER305325,Temporary Personnel - Project Support Officer Water Science,Department of Water and Environmental Regulation,"$ 81,307.00 "
EMHS202515117,Critical Health ICT Infrastructure Program - Electrical Works (Works Package 3),East Metropolitan Health Service,"$ 63,133.00 "
MRWA003125,Provision of Aboriginal Heritage Services - Great Central Road (6070087/6120015) - Heritage Survey - Ngaanyatjarra Ethnographic Surveys,Main Roads Western Australia,"$ 617,141.00 "
CUARGS2014,Natural Reticulated Gas Supply,Metropolitan Cemeteries Board,"$ 592,500.00 "
MW25034,SCGH - G Block Level 7 - Rm 7.17.15 - Medication Room,North Metropolitan Health Service,"$ 66,870.00 "
PTA250966,Radio Frequency Identification Tags,Public Transport Authority,"$ 236,225.00 "
DBCARIAQ2626,"ICT Strategic, Technical and Project Management Services",Rottnest Island Authority,"$ 157,300.00 "
DBCA465ST2082024,Heavy machinery works for fire and conservation operations in the Wheatbelt Region.,"Department of Biodiversity, Conservation and Attractions","$ 2,000,000.00 "
DBCA243SQ0322025,Asset Management Review and Strategic Directions,"Department of Biodiversity, Conservation and Attractions","$ 69,706.00 "
ED252007,Electricity for Floreat Park Primary School (CUAELC2012),Department of Education,"$ 107,557.00 "
DFES247325,Review of Success Fire Station Health Monitoring Program,Department of Fire and Emergency Services,"$ 92,070.00 "
DFES229724,Monitoring Solution for ICT Services,Department of Fire and Emergency Services,"$ 603,950.00 "
MP0509624,Department of Health - The New Women and Babies Hospital Project - State Advisory Services - Multidisciplinary Engineering,Department of Housing and Works,"$ 9,886,503.00 "
FINW0769323,East Metropolitan Health Services - Byford Health Hub - Community-Based Health Care Facility,Department of Housing and Works,"$ 25,710,218.00 "
DHW0430025,Department of Education - Riverton Primary School - New K/PP Block - SIP - EC25 - Architectural Services,Department of Housing and Works,"$ 255,672.00 "
DHW0376225,Department of Education - Bridgetown Primary School - ACM Eaves and Plaster Glass Ceiling Replacement - Heritage Build,Department of Housing and Works,"$ 192,104.00 "
DHW0215925,Department of Education - The Broome Special Educational Needs Behaviour and Engagement Centre,Department of Housing and Works,"$ 2,066,538.00 "
DHW0157825,Department of Education - Harrisdale Senior High School - Relocation of 2 x GLAs Transportable Classrooms including associated works,Department of Housing and Works,"$ 188,902.00 "
202540250,Construction of 2 - 2 Bed x 1 Bath Residential Dwellings at 22 Kettering Parkway Wellard WA 6173,Department of Housing and Works,"$ 719,937.00 "
202540221,Construction of 2 - 1 Bed x 1 Bath Residential Dwellings at 13 Epping Way Wellard WA 6170,Department of Housing and Works,"$ 675,682.00 "
202540220,Construction of 2 - 1 Bed x 1 Bath Residential Dwellings at 9 Eastleigh Way Wellard WA 6170,Department of Housing and Works,"$ 638,002.00 "
202540219,Construction of 3 - 1 Bed x 1 Bath Residential Dwellings at 8 Kettering Parkway Wellard WA 6170,Department of Housing and Works,"$ 1,004,752.00 "
202540217,Construction of 2 - 2 Bed x 1 Bath Residential Dwellings at Lot 1994 (42) Brierfield Street Wellard WA 6170,Department of Housing and Works,"$ 715,081.00 "
202540006,Construction of 3 - 3 Bed x 1 Bath Residential Dwellings at 7 Appeal Street Ellenbrook WA 6069,Department of Housing and Works,"$ 1,166,436.00 "
202540005,Construction of 4 - 2 Bed x 1 Bath Residential Dwellings at 15 Ephemina Street Ellenbrook WA 6069,Department of Housing and Works,"$ 1,356,593.00 "
DEMIRS24901,Online Risk Management System,"Department of Local Government, Industry Regulation and Safety","$ 170,547.00 "
DPIRD2025253,Processing of Experimental Cattle from Kununurra Research Station,Department of Primary Industries and Regional Development,"$ 56,165.00 "
ICWAIPP1609,IT SOE Engineer,Insurance Commission of Western Australia,"$ 168,273.00 "
LAWA20250701,Information Architecture Services - Public Website,Legal Aid Commission of WA,"$ 794,310.00 "
LW25166,Services for a Static Security Guard in Lotterywest Foyer,Lotterywest,"$ 245,000.00 "
MRWA0349240160,Provision of Temporary Personnel - Delivery Planning Officer - Delivery Planning and Contracts,Main Roads Western Australia,"$ 76,193.00 "
MRWA0006200064,Provision of Consultancy Services for the Development of Dynamics to ArcGIS Enterprise Sync,Main Roads Western Australia,"$ 86,635.00 "
NMTAFEP2025021,Provision of Banana Test Leads,North Metropolitan TAFE,"$ 60,720.00 "
PROPTA25031,Southern River Workshop Insulation Upgrade,Programmed Facility Management,"$ 79,416.00 "
PROMSA25116,Supply and Install - Evaporative Units to Block 2,Programmed Facility Management,"$ 98,027.00 "
DBCARIAT0226,Geordie Bay Landscaping Works,Rottnest Island Authority,"$ 498,672.00 "
DBCARIAQ0526,Rottnest Island HEGS Bird and Bat Utilisation Assessment,Rottnest Island Authority,"$ 274,200.00 "
PF26002,VenuesWest Turf Farm Feasibility Study,VenuesWest,"$ 150,000.00 "
P26081A,Perth High Performance Centre Fire System Consultancy Services for Compliance Audit and Detailed Design,VenuesWest,"$ 75,416.00 "
P26061,Perth Motorplex Modular Toilet Replacement,VenuesWest,"$ 51,404.00 "
DOC202545027,Kimberley Floods Recovery – Healing on Country and Community Services,Department of Communities,"$ 248,950.00 "
ED250207,Printing Services for Graduate Teacher Induction Program,Department of Education,"$ 205,000.00 "
ED250199,Supply and Delivery of One (1) New Bus to Albany Residential College – 25 (approximately) Passenger Seats,Department of Education,"$ 215,955.00 "
FINW0450825,Department of Education - Broome Senior High School - Carpark Upgrade and Repairs,Department of Housing and Works,"$ 13,750.00 "
FINW0109325,Department of Education - Bunbury Senior High School - Erosion Rectification Works,Department of Housing and Works,"$ 872,762.00 "
DHW0374225,Department of Education - Harvey Primary School - Playground Equipment Replacement,Department of Housing and Works,"$ 279,994.00 "
DPLH204624,ABORIGINAL HERITAGE SURVEY AT CARNARVON MULLEWA ROAD (SPR-1031),"Department of Planning, Lands and Heritage","$ 44,436.00 "
DPLH201625,"Architectural Services for Conservation and Maintenance Works to No. 16 and 18 The Terrace, Fremantle Prison","Department of Planning, Lands and Heritage","$ 84,150.00 "
DOT413225,Information Architect Services,Department of Transport and Major Infrastructure,"$ 651,865.00 "
EMHS202514960,"Supply, Delivery, Installation, Commissioning and Post Warranty Service and Maintenance for One (1) Medical Equipment Washing and Decontamination System",East Metropolitan Health Service,"$ 156,172.00 "
ICWAIPP1563,Test Analyst,Insurance Commission of Western Australia,"$ 59,429.00 "
JN248758,LG01382023,Landgate,$ 1.00 
JN246565,LG01382023,Landgate,$ 1.00 
JN240016,LG01382023,Landgate,$ 1.00 
MRWA019624,Provision of Periodic Maintenance – Road Sweeping – Mid West-Gascoyne Region,Main Roads Western Australia,"$ 311,872.00 "
MRWA0098160268,"Urgent Repairs for Bridges 0845, 0846, 0849, 0976 and 1138",Main Roads Western Australia,"$ 170,932.00 "
MRWA0098160256,Bridge Replacement Works to Bridges 0255 & 0520A - South West Region,Main Roads Western Australia,"$ 3,602,384.00 "
MRWA007925,Supply of Bentley Enterprise Licensing Agreement Renewal,Main Roads Western Australia,"$ 311,791.00 "
PROMSA25097,Power Upgrade - Illawarra Primary School,Programmed Facility Management,"$ 259,826.00 "
DBCARIAT5425,Provision of Marketing and Creative Services,Rottnest Island Authority,"$ 480,000.00 "
SMT2025155,Aeroskills Trainer,South Metropolitan TAFE,"$ 68,188.00 "
SRT2025005,"Provision of Security Services for South Regional TAFE, Narrogin Campus",South Regional TAFE,"$ 108,380.00 "
SRT2025004,"Provision of Security Services for South Regional TAFE, Katanning Campus",South Regional TAFE,"$ 191,935.00 "
DOC202551285,Consultant to deliver an options paper on the future of its Supported Community Living Service,Department of Communities,"$ 87,400.00 "
ED252114,Electricity for Aveley Primary School (CUAELC2012),Department of Education,"$ 76,971.00 "
ED251937,Electricity for Fremantle College (CUAELC2012),Department of Education,"$ 466,143.00 "
ED250606,Supply and Delivery of one (1) new Fuso Rosa bus to Woodvale Secondary College - 25 Passenger Seats,Department of Education,"$ 207,975.00 "
DFESPOREQ0006965,Stores / Admin Support,Department of Fire and Emergency Services,"$ 68,814.00 "
DOH202515329,Queen Elizabeth Medical Centre II Additional Car Park Business Case Development,Department of Health (Royal Street),"$ 187,000.00 "
FINW0267622,Western Australian Police Force - New Facility - Kimberley District Support Facility,Department of Housing and Works,"$ 36,221,513.00 "
FINW0139523,"Department of Finance - Kununurra Government Building - Fit-out Alterations, external fencing and car park works.",Department of Housing and Works,"$ 6,845,892.00 "
DHW0432125A,Department of Education - Rostrata Primary School - New Primary School Block - SIP- EC25 - Cost Management Services,Department of Housing and Works,"$ 79,609.00 "
